complex,cluster_id,homo_fold,bycx_fold,n_records
1GRN_A_B,"1GRN_A_B,2REX_A_B,3EG5_A_B,3Q3J_A_B",homo_1,split_2,1
1MQ8_A_B,1MQ8_A_B,homo_0,split_1,7
3BX1_A_C,3BX1_A_C,homo_1,split_0,7
4X4M_AB_E,4X4M_AB_E,homo_2,split_1,7
5E6P_A_B,5E6P_A_B,homo_0,split_1,7
1ACB_E_I,1ACB_E_I,homo_1,split_2,6
1CSE_E_I,1CSE_E_I,homo_2,split_1,6
1YCS_A_B,1YCS_A_B,homo_1,split_2,6
3BE1_HL_A,3BE1_HL_A,homo_2,split_1,6
4E6K_AB_G,4E6K_AB_G,homo_0,split_2,6
4GNK_A_B,4GNK_A_B,homo_1,split_1,6
1SMF_E_I,1SMF_E_I,homo_2,split_1,5
1WQJ_I_B,1WQJ_I_B,homo_0,split_2,5
3BDY_HL_V,3BDY_HL_V,homo_2,split_0,5
5K39_A_B,5K39_A_B,homo_0,split_1,5
1XGP_AB_C,1XGP_AB_C,homo_1,split_2,4
1XGQ_AB_C,1XGQ_AB_C,homo_1,split_0,4
1XGR_AB_C,1XGR_AB_C,homo_2,split_1,4
1XGT_AB_C,1XGT_AB_C,homo_0,split_2,4
1XGU_AB_C,1XGU_AB_C,homo_1,split_1,4
2BTF_A_P,2BTF_A_P,homo_2,split_0,4
2DSQ_I_G,2DSQ_I_G,homo_0,split_2,4
3NVQ_B_A,"3NVN_B_A,3NVQ_B_A",homo_1,split_1,2
3NVN_B_A,"3NVN_B_A,3NVQ_B_A",homo_1,split_2,2
4MYW_A_B,"3U82_A_B,4MYW_A_B",homo_2,split_0,2
3U82_A_B,"3U82_A_B,4MYW_A_B",homo_2,split_1,2
3W2D_A_HL,3W2D_A_HL,homo_0,split_0,4
4HSA_AB_C,4HSA_AB_C,homo_1,split_1,4
4YEB_A_B,4YEB_A_B,homo_2,split_0,4
1N8O_ABC_E,1N8O_ABC_E,homo_0,split_2,3
2AW2_A_B,2AW2_A_B,homo_0,split_1,3
2B42_A_B,2B42_A_B,homo_1,split_2,3
2HRK_A_B,2HRK_A_B,homo_2,split_1,3
3BP8_A_C,3BP8_A_C,homo_0,split_1,3
3LZF_AB_HL,3LZF_AB_HL,homo_1,split_1,3
3WWN_A_B,3WWN_A_B,homo_2,split_1,3
4GXU_ABCDEF_MN,4GXU_ABCDEF_MN,homo_0,split_0,3
4KRL_A_B,4KRL_A_B,homo_1,split_2,3
4KRO_A_B,4KRO_A_B,homo_2,split_0,3
4Y61_A_B,4Y61_A_B,homo_0,split_0,3
1FY8_E_I,1FY8_E_I,homo_1,split_0,2
1GL0_E_I,1GL0_E_I,homo_2,split_0,2
1GL1_A_I,1GL1_A_I,homo_1,split_0,2
1U7F_B_AC,1U7F_B_AC,homo_2,split_2,2
2I26_N_L,2I26_N_L,homo_0,split_0,2
2VIR_AB_C,2VIR_AB_C,homo_1,split_2,2
4KRP_A_B,4KRP_A_B,homo_2,split_1,2
4U6H_AB_E,4U6H_AB_E,homo_0,split_2,2
4ZS6_HL_A,4ZS6_HL_A,homo_1,split_0,2
1CSO_E_I,1CSO_E_I,homo_2,split_2,1
1CT0_E_I,1CT0_E_I,homo_0,split_2,1
1CT2_E_I,1CT2_E_I,homo_2,split_2,1
1CT4_E_I,1CT4_E_I,homo_0,split_0,1
1F5R_A_I,1F5R_A_I,homo_1,split_0,1
1KIP_AB_C,1KIP_AB_C,homo_2,split_0,1
1KIQ_AB_C,1KIQ_AB_C,homo_0,split_0,1
1KIR_AB_C,1KIR_AB_C,homo_1,split_2,1
1SBN_E_I,1SBN_E_I,homo_2,split_2,1
1SGD_E_I,1SGD_E_I,homo_0,split_0,1
1SGE_E_I,1SGE_E_I,homo_1,split_2,1
1SGN_E_I,1SGN_E_I,homo_2,split_0,1
1SGP_E_I,1SGP_E_I,homo_0,split_1,1
1SGQ_E_I,1SGQ_E_I,homo_1,split_1,1
1SGY_E_I,1SGY_E_I,homo_2,split_2,1
1SIB_E_I,1SIB_E_I,homo_0,split_2,1
1TM3_E_I,1TM3_E_I,homo_1,split_2,1
1TM4_E_I,1TM4_E_I,homo_2,split_1,1
1TM5_E_I,1TM5_E_I,homo_0,split_1,1
1TM7_E_I,1TM7_E_I,homo_1,split_0,1
1TMG_E_I,1TMG_E_I,homo_2,split_1,1
1TO1_E_I,1TO1_E_I,homo_0,split_1,1
1Y1K_E_I,1Y1K_E_I,homo_1,split_2,1
1Y33_E_I,1Y33_E_I,homo_2,split_2,1
1Y34_E_I,1Y34_E_I,homo_0,split_1,1
1Y3B_E_I,1Y3B_E_I,homo_1,split_2,1
1Y3C_E_I,1Y3C_E_I,homo_2,split_0,1
1Y3D_E_I,1Y3D_E_I,homo_0,split_2,1
1Y48_E_I,1Y48_E_I,homo_1,split_0,1
1Y4A_E_I,1Y4A_E_I,homo_2,split_2,1
2NU0_E_I,2NU0_E_I,homo_0,split_2,1
2NU1_E_I,2NU1_E_I,homo_1,split_1,1
2NU2_E_I,2NU2_E_I,homo_2,split_1,1
2NU4_E_I,2NU4_E_I,homo_0,split_1,1
2SGP_E_I,2SGP_E_I,homo_1,split_2,1
2SGQ_E_I,2SGQ_E_I,homo_2,split_1,1
2VIS_AB_C,2VIS_AB_C,homo_0,split_2,1
3BTD_E_I,3BTD_E_I,homo_1,split_2,1
3BTE_E_I,3BTE_E_I,homo_2,split_1,1
3BTF_E_I,3BTF_E_I,homo_0,split_0,1
3BTG_E_I,3BTG_E_I,homo_1,split_1,1
3BTH_E_I,3BTH_E_I,homo_2,split_2,1
3BTM_E_I,3BTM_E_I,homo_0,split_2,1
3BTQ_E_I,3BTQ_E_I,homo_1,split_0,1
3BTT_E_I,3BTT_E_I,homo_2,split_1,1
3BTW_E_I,3BTW_E_I,homo_0,split_0,1
3RF3_A_C,3RF3_A_C,homo_1,split_1,1
3TGK_E_I,3TGK_E_I,homo_2,split_1,1
4EKD_A_B,4EKD_A_B,homo_0,split_0,1
4GU0_A_E,4GU0_A_E,homo_1,split_2,1
4JGH_ABC_D,4JGH_ABC_D,homo_2,split_0,1
4LRX_AB_CD,4LRX_AB_CD,homo_0,split_2,1
